MISSION ELAPSED TIME (min),dist
490.6427943,123925.8093
491.6427943,124019.3026
492.6427943,124112.5454
493.6427943,124205.5386
494.6427943,124298.283
495.6427943,124390.7793
496.6427943,124483.0286
497.6427943,124575.0315
498.6427943,124666.789
499.6427943,124758.3019
500.6427943,124849.5709
501.6427943,124940.597
502.6427943,125031.3809
503.6427943,125121.9234
504.6427943,125212.2254
505.6427943,125302.2877
506.6427943,125392.1111
507.6427943,125481.6965
508.6427943,125571.0445
509.6427943,125660.1561
510.6427943,125749.0319
511.6427943,125837.6729
512.6427943,125926.0798
513.6427943,126014.2535
514.6427943,126102.1946
515.6427943,126189.904
516.6427943,126277.3825
517.6427943,126364.6309
518.6427943,126451.6499
519.6427943,126538.4404
520.6427943,126625.0031
521.6427943,126711.3387
522.6427943,126797.4482
523.6427943,126883.3322
524.6427943,126968.9915
525.6427943,127054.4269
526.6427943,127139.6391
527.6427943,127224.629
528.6427943,127309.3973
529.6427943,127393.9447
530.6427943,127478.2721
531.6427943,127562.3801
532.6427943,127646.2695
533.6427943,127729.9412
534.6427943,127813.3958
535.6427943,127896.6341
536.6427943,127979.6569
537.6427943,128062.4649
538.6427943,128145.0588
539.6427943,128227.4395
540.6427943,128309.6076
541.6427943,128391.564
542.6427943,128473.3093
543.6427943,128554.8442
544.6427943,128636.1697
545.6427943,128717.2863
546.6427943,128798.1948
547.6427943,128878.896
548.6427943,128959.3906
549.6427943,129039.6794
550.6427943,129119.763
551.6427943,129199.6423
552.6427943,129279.3179
553.6427943,129358.7906
554.6427943,129438.0611
555.6427943,129517.1302
556.6427943,129595.9985
557.6427943,129674.6669
558.6427943,129753.136
559.6427943,129831.4066
560.6427943,129909.4795
561.6427943,129987.3552
562.6427943,130065.0346
563.6427943,130142.5184
564.6427943,130219.8074
565.6427943,130296.9022
566.6427943,130373.8035
567.6427943,130450.5122
568.6427943,130527.0289
569.6427943,130603.3544
570.6427943,130679.4893
571.6427943,130755.4344
572.6427943,130816.5519
573.449368,130892.156
574.449368,130967.5723
575.449368,131042.8016
576.449368,131117.8446
577.449368,131192.7019
578.449368,131267.3744
579.449368,131341.8628
580.449368,131416.1677
581.449368,131490.2899
582.449368,131564.2302
583.449368,131637.9891
584.449368,131711.5676
585.449368,131784.9663
586.449368,131858.1858
587.449368,131931.227
588.449368,132004.0906
589.449368,132076.7773
590.449368,132149.2878
591.449368,132221.6228
592.449368,132293.7831
593.449368,132365.7693
594.449368,132437.5823
595.449368,132509.2227
596.449368,132580.6913
597.449368,132651.9888
598.449368,132723.1158
599.449368,132794.0733
600.449368,132864.8618
601.449368,132935.4821
602.449368,133005.9349
603.449368,133076.221
604.449368,133146.3411
605.449368,133216.2959
606.449368,133286.0862
607.449368,133355.7126
608.449368,133425.176
609.449368,133494.477
610.449368,133563.6164
611.449368,133632.5949
612.449368,133701.4133
613.449368,133770.0723
614.449368,133838.5726
615.449368,133906.915
616.449368,133975.1001
617.449368,134043.1289
618.449368,134111.0019
619.449368,134178.7199
620.449368,134246.2837
621.449368,134313.6941
622.449368,134380.9517
623.449368,134448.0573
624.449368,134515.0116
625.449368,134581.8155
626.449368,134648.4696
627.449368,134714.9747
